productName,productSlug,submittedAt,overallRating,easeOfUse,easeOfSetup,meetsRequirements,qualityOfSupport,reviewTitle,pros,cons,problemsSolved,didSwitchFromCompetitor,previousCompetitors,whySwitched,reviewerRole,reviewerIndustry,companySize,reviewerCountry,isIncentivized,reviewUrl,reviewId
Slack,slack,2026-06-17T17:37:45+00:00,5,7,7,6,6,Dynamic Team Communication with Slack,"I love Slack. It's real cool. I like the real cool emojis and how it feels up to date, having a real millennial-esque vibe. I love the fact that you can video chat through it, allowing for direct communication, unlike email where you have to wait back and forth. Slack gives you the opportunity to show when you're online, away, offline, or even on vacation. It's just a real effective corporate communication style. The status visibility is cool too, as it lets people know if you're busy or on vacation. I also love how it's pretty easy and simple to set up. Additionally, I appreciate the feature that allows you to jump on a call with the actual huddle. I love how Slack supports communication through different channels, giving restrictions on certain channels, allowing executives to post while normal employees can't. There’s the ability to make certain channels private, so they are only accessible to team members who need them.","Sometimes when integrating Google Calendar with Slack, it doesn't keep the status up to date. Like, if you set yourself away or silence notifications, the Google Calendar integration may override it. Sometimes Slack notifications don't override Google Calendar notifications, which can be a bit confusing. Also, Slack doesn't have a feature to bulk upload members to channels, which would be helpful for managing our monthly all-hands channels.",Slack lets my team communicate directly in private channels and offers a general channel for executive communication. Its features like status visibility and direct messaging are great for urgent requests and up-to-date tracking.,False,,,Administrator,Information Technology and Services,Enterprise,United States,True,https://www.g2.com/products/slack/reviews/slack-review-12973099,12973099
Slack,slack,2026-06-17T16:38:05+00:00,5,7,7,7,7,Excellent Collaboration Tool to Organize Conversations Into Dedicated Channels for Specific Projects,I like the channel creation that helps to handle multiple projects through organized conversations and the drag and drop of files into chats is very helpful for fostering teamwork.,I can’t think of anything significant that I don’t like about this tool since it stands out asa superb communication tool.,"The channels helps keep conversations focused by project, team or topic which allows for quick collaboration and it’s also very useful for sharing documents quickly.",False,,,User,Accounting,SMB,United States,True,https://www.g2.com/products/slack/reviews/slack-review-12972618,12972618
Slack,slack,2026-06-17T16:19:15+00:00,5,,,,,Effortless Team Communication with Intuitive Slack,"I use Slack to connect with my team members and my AI agent for cold outreach, and I find it facilitates effective communication and makes sharing files easy. I appreciate Slack’s beginner-friendly design and how it offers both a free plan and an affordable paid plan for startups. The initial setup was super simple for our small team. We've been using Slack for the past five years, and it has met our needs well.",It sometimes feels too cluttered. Minimalistic options could make the user experience great. It needs to have basic features for beginner users and should have an advanced option where people could explore more features.,"I use Slack to connect with my team and an AI agent. It effectively solves communication issues, makes file sharing easy, and joining groups is straightforward.",False,,,,,SMB,India,False,https://www.g2.com/products/slack/reviews/slack-review-12972527,12972527
Slack,slack,2026-06-17T11:46:40+00:00,5,7,,7,7,"Lightweight, Feature-Rich Slack That Makes Switching Profiles Effortless","Slack feels lightweight, and it offers a lot of features that are genuinely helpful for remote workers. I also like that you can manage different profiles within the same application, which makes it much easier to switch between them and navigate across everything.","For first-time users, navigating the app can feel confusing at first.",It facilitates remote operations by providing a centralized channel for communication.,False,,,,Information Technology and Services,Mid-Market,United Kingdom,False,https://www.g2.com/products/slack/reviews/slack-review-12970621,12970621
Slack,slack,2026-06-17T10:50:09+00:00,4,,,,,"Effortless Global Team Communication, But Room for Improvement","I use Slack for day-to-day communication with team members, leadership, and colleagues, and it really helps our hybrid team with global members to communicate easily. I find the search function robust and it makes it easy to find conversations or documents. I feel confident when searching a keyword as the appropriate content will be shown. I also found the initial setup of Slack very easy—quick and simple.","I don't like that you are capped at 8 users in a direct message channel, it is very restrictive outside of creating a channel.",Slack eases communication for my global hybrid team across time zones with secure messaging. The robust search enhances confidence in finding needed content.,False,,,,,Mid-Market,Australia,True,https://www.g2.com/products/slack/reviews/slack-review-12970468,12970468
Slack,slack,2026-06-16T18:21:55+00:00,5,7,7,6,7,Easy-to-Use UI That Simplifies Team Communication,"It makes communication with multiple team members simple, and the user interface is easy to use.","It’s been some time since I last used multiple images and text together, but I ran into a UI issue where the Send button gets hidden. Aside from that, everything works fine.","It helps us communicate with team members through messages or huddles, and the third-party app integration is very helpful, such as Jira, ClickUp, etc.",False,,,User,Computer Software,SMB,India,False,https://www.g2.com/products/slack/reviews/slack-review-12967107,12967107
Slack,slack,2026-06-16T16:37:42+00:00,5,7,,7,,UX/UI That’s Easy to Navigate,"I love how active the communities are on Slack. In the past, I used Slack for just about everything, but my current company is a Microsoft Teams environment. With the recent announcements about removing messages after 90 days, I’m being forced to rely more on emails in Outlook, which is pretty cumbersome, and doesn't allow for the ability to edit easily if I hit send too soon. I really miss Slack’s UX/UI and how easy it is to find things.",I've had to sign up without a company so I could access the Slack communities that are very active and very enriching. The paywall keeps hitting me and hinders my ability to be in active channels I want to be in,"It's keeping everything in one location for me (files, channels, workspaces, slacks). Once you learn where to find them, it's easy to bounce around.",False,,,,Information Technology and Services,Enterprise,United States,False,https://www.g2.com/products/slack/reviews/slack-review-12966224,12966224
Slack,slack,2026-06-15T16:25:17+00:00,5,7,7,7,7,"Seamless Integrations, Stellar yet Grounded UI/UX, and Rock-Solid Performance","Slack’s UI/UX design strikes a nice balance between classic and modern, which gives us that comfortable sense of familiarity while we use it. The integrations have been seamless as well, and they keep us in the loop with our existing systems. Its performance and overall upkeep have made us loyal users to the point that we’ve never seriously considered migrating to another platform.","Support has also been very helpful. That said, we rarely need to contact them because the app has had little to no issues for us. I’ve seen what their AI is capable of, but our current setup isn’t really looking for an add-on like Slack AI right now. We’re perfectly content with what we have, and I’m glad Slack has been stellar for our company for the entire time we’ve had it; the ROI is evident.",It definitely lessens the fragmented state of our systems thanks to the app integrations and automations.,False,,,Administrator,Financial Services,Mid-Market,Philippines,False,https://www.g2.com/products/slack/reviews/slack-review-12960949,12960949
Slack,slack,2026-06-15T12:12:12+00:00,4,,,,,"Streamlined Communication, Minor Notification Overload","I really appreciate how Slack centralizes communication and enhances task visibility, which is super helpful for our projects. The integration with work tools is seamless, allowing our team to be more connected and work efficiently. The automatic notifications are great because they help us receive alerts when tasks are assigned, and the system is excellent for reminding teams about deadlines. Slack's automation features that keep information flowing automatically are fantastic, reducing the need for manual coordination. It acts as a communication hub, providing faster communication sharing, great transparency, improved collaboration, and strong cross-functional coordination. We can spend less time copying information between systems and updating colleagues, which has a huge impact on the team's connectivity. Also, setting up Slack was really easy. With these features, decisions become easier to make and are well-documented and searchable. It's a lifesaver in reducing confusion and miscommunication among various teams when something changes.","The notification fatigue is there. If an employee is working on a complex task, they may receive dozens of notifications throughout the day. So it may reduce productivity. Those are my concerns.","Slack reduces email volume, centralizes communication, enhances task visibility, and integrates with work tools. It boosts team connectivity and collaboration, automates information flow, reduces manual coordination, and helps us stay informed.",False,,,,,Mid-Market,Sri Lanka,False,https://www.g2.com/products/slack/reviews/slack-review-12959730,12959730
Slack,slack,2026-06-15T02:23:56+00:00,5,7,,5,5,"Focused, Easy to Use","What I like best about Slack is its exceptional UI/UX, which organizes messy communication into clean, intuitive channels that make onboarding a breeze for new team members. Its robust ecosystem allows for seamless integrations with tools like Google Drive and Jira, while its lightning-fast search performance ensures finding archived files takes seconds. Additionally, the platform provides strong ROI through automated workflows and robust AI intelligence, which instantly summarizes long threads to keep everyone aligned without notification fatigue.","What I dislike most about Slack is how easily it can cause notification fatigue and derail deep focus. Because conversation happens in real time across dozens of channels, the constant stream of alerts creates a false sense of urgency, making it feel like you always need to be online. If you step away for a few hours, catching up on chaotic threads and unread messages can feel incredibly overwhelming and counterproductive.","Slack solves the problem of disjointed workplace communication by replacing scattered email threads and fragmented text messages with a centralized hub. For me, this eliminates the frustration of digging through an overloaded inbox for project updates, because everything is organized into searchable channels. The benefit is an immediate boost in daily productivity and team alignment, as I can find files, converse in real time, and see decisions being made all in one transparent place.",False,,,,Financial Services,Enterprise,India,False,https://www.g2.com/products/slack/reviews/slack-review-12958311,12958311
Microsoft Teams,microsoft-teams,2026-06-18T15:51:16+00:00,5,7,7,7,7,MS teams Streamlines Client Communication and Interview Scheduling,I am recruitment Account Manager and handling US Clients and MS teams helps me in scheduling interviews and communicating with the clients very smoothly. I can create separate channels for each client account. It also have feature of meeting records and notes which is useful for reviewing requirements and ensuring alignment across recruitment team. Also take update from my teams over Ms teams chat.,"Not really but when you are handling multiple client accounts, you don’t get proper notifications. Finding older chat or conversations takes time.","In recruitment firstly I have to manages all my communications with Recruiters, HR, Clients and candidates through different apps but through teams I can centralised all at one place.",False,,,Internal Consultant,Staffing and Recruiting,Mid-Market,India,False,https://www.g2.com/products/microsoft-teams/reviews/microsoft-teams-review-12977734,12977734
Microsoft Teams,microsoft-teams,2026-06-18T15:28:39+00:00,5,7,7,7,7,Highly Impressive in Instant Messaging and Video Meetings with Superior Reliability In Both,The instant messaging and quick file sharing between colleagues has made any boundaries minimal and I like that the simple interface makes it easy to create a meeting and invite others to join.,I am yet to find anything problematic about this platform we use for meetings and instant messaging and it has served us well.,"The ability to message, voice call or video call colleagues allowing us to work collaboratively with other team members which ensures improved productivity and effective collaboration.",False,,,User,Telecommunications,Mid-Market,United States,True,https://www.g2.com/products/microsoft-teams/reviews/microsoft-teams-review-12977666,12977666
Microsoft Teams,microsoft-teams,2026-06-18T14:20:15+00:00,5,7,7,7,6,Microsoft Teams: The All-in-One Microsoft 365 Hub Powered by AI Automation,"Microsoft Teams is the undisputed ""all-in-one"" hub for organizations already embedded in the Microsoft 365 ecosystem. By 2026, it has successfully transitioned from being ""just a video conferencing tool"" to a workspace that uses AI agents and automation to handle heavy administrative lifting.","Users often feel that while Teams is a ""productivity powerhouse,"" its sheer size and complexity can sometimes act as a barrier to the very productivity it is meant to support",Easily setup meeting,False,,,User,Information Technology and Services,SMB,India,True,https://www.g2.com/products/microsoft-teams/reviews/microsoft-teams-review-12977235,12977235
Microsoft Teams,microsoft-teams,2026-06-18T09:42:47+00:00,5,7,,7,6,Microsoft Teams: A Sanity-Saving Collaboration Hub that eats RAM for breakfast,"I really like how seamlessly it integrates everything - your chats, video calls, and Microsoft 365 apps - all in one place so you don't have to keep switching windows.","It can be a major hog. It often uses up a lot of computer memory (RAM), which xan make it feel slow and sluggish, especially during large video calls","By pulling everything into one hub, Teams solves that digital clutter. The benefit to me is much clearer headspace. I can chat, share documents, and jump into meetings in the exact same window, which means less time hunting for lost links and more time actually getting things done with the team",False,,,,Research,SMB,Philippines,False,https://www.g2.com/products/microsoft-teams/reviews/microsoft-teams-review-12976034,12976034
Microsoft Teams,microsoft-teams,2026-06-17T21:13:25+00:00,4,5,,7,5,"Straightforward, Reliable Collaboration Hub in One Place",,,,False,,,,Design,Enterprise,Tunisia,False,https://www.g2.com/products/microsoft-teams/reviews/microsoft-teams-review-12974329,12974329
Microsoft Teams,microsoft-teams,2026-06-17T15:54:21+00:00,5,7,5,7,7,"Interfaz amigable, gran integración con Microsoft y excelente soporte con IA",,,,False,,,Administrator,Banking,Mid-Market,Dominican Republic,True,https://www.g2.com/products/microsoft-teams/reviews/microsoft-teams-review-12972203,12972203
Microsoft Teams,microsoft-teams,2026-06-17T12:34:11+00:00,5,7,7,7,7,Easily Accessible Meeting Platform with Great Clarity in Video Calls and Connection is Very Stable,I really appreciate the chat and video meeting quality which is very reliable for our team communication and collaboration.,I have no complaints so far the platform has never let us down and continuous to deliver great team communication features.,"It makes communication and collaboration easy by combining chat, video meetings and file sharing in one platform which helps our teams coordinate tasks well and work more efficiently.",False,,,User,Automotive,Mid-Market,United States,True,https://www.g2.com/products/microsoft-teams/reviews/microsoft-teams-review-12970799,12970799
Microsoft Teams,microsoft-teams,2026-06-17T10:34:04+00:00,5,7,6,6,,"Unlimited Group Chats, Engaging Announcements, and Time-Saving AI Meeting Summaries",,,,False,,,Executive Sponsor,Information Technology and Services,Mid-Market,Australia,True,https://www.g2.com/products/microsoft-teams/reviews/microsoft-teams-review-12970392,12970392
Microsoft Teams,microsoft-teams,2026-06-16T17:38:20+00:00,5,7,6,7,,Collaborative Hub for Meetings and Team Docs,I like that it’s not just a virtual meeting software but also very collaborative and teams get to use it as a repository for docs and anything work related .,They keep asking for feedback on call quality after every call. And also how network sensitive it is .,I work with a team that is scattered all over the continent and beyond. Microsoft Teams brings us together be it over a video call or voice call.,True,Cisco Webex Support,We had issues with the software glitching especially when in meetings. And no after sales support .,Administrator,Information Technology and Services,Mid-Market,South Africa,False,https://www.g2.com/products/microsoft-teams/reviews/microsoft-teams-review-12966734,12966734
Microsoft Teams,microsoft-teams,2026-06-16T12:29:33+00:00,4,6,6,6,,Great for Quick Communication and Video Calls,Great for quick communication and for video calls,It is a little annoying that only the admin of the account can download or give access to meeting transcripts,We have committee meetings once a month and it allows us to communicate effectively without all having to be in the same location,False,,,Administrator,Primary/Secondary Education,Mid-Market,United States,True,https://www.g2.com/products/microsoft-teams/reviews/microsoft-teams-review-12964672,12964672
Microsoft Teams,microsoft-teams,2026-06-16T09:42:10+00:00,5,7,7,7,7,Microsoft Teams: The All-in-One Tool That Actually Lives Up to It,,,,False,,,Administrator,Computer Networking,Mid-Market,India,False,https://www.g2.com/products/microsoft-teams/reviews/microsoft-teams-review-12963388,12963388
Microsoft Teams,microsoft-teams,2026-06-16T01:30:30+00:00,5,6,6,6,5,Essential for Cross Department Coordination and Long Term Project Archiving,"What I like most about Microsoft Teams is that it gives our teams a single place to manage ongoing discussions, meetings, and project-related information. We use dedicated channels for different departments and initiatives, which makes it easier to keep conversations, shared documents, meeting recordings, and updates organized instead of searching across multiple tools. The meeting functionality has also been particularly valuable in day to day operations. Screen sharing, meeting recordings and collaborative document editing make it easier for teams to review updates, discuss issues, and track action items. When someone is unable to attend a meeting, they can review the recording and conversation history later, which helps maintain continuity without requiring separate follow up sessions. Another benefit is the ability to keep project information available over time. Teams provides a useful record of previous discussions, shared resources and decisions, making it easier for employees to reference information, onboard new team members, and stay informed about ongoing work.","One challenge we have experienced with Microsoft Teams is keeping workspaces organized as usage grows across multiple departments and projects. Over time, channels, files, meeting recordings and shared documents can accumulate quickly making it important to regularly review and maintain content to avoid confusion. We have also found that locating older resources is not always as straightforward as it could be. For example finding a specific recording, document or discussion from a previous project sometimes requires checking multiple locations depending on how the content was originally shared or stored. While the integration with other Microsoft services is valuable it can occasionally create extra steps when managing information across different workspaces. Overall Microsoft Teams has been effective for collaboration and project coordination but improvements to content organization, information discovery and workspace management would make the platform even easier to use as teams and projects continue to expand.","Overall Microsoft Teams has been effective for collaboration, meetings, and project coordination. However improvements to content organization, search capabilities and workspace management would make it easier to maintain a clean and efficient environment as usage continues to grow.",True,Slack,"We previously used Slack for team communication, but as our collaboration requirements expanded, Microsoft Teams provided a more complete solution for meetings, document collaboration, project coordination, and ongoing knowledge sharing. While Slack worked well for messaging, we found ourselves relying on additional tools for meetings, file management and maintaining project related information. One advantage of Microsoft Teams is the ability to keep conversations, meeting recordings, shared documents, and project updates connected within dedicated team workspaces. This has made it easier for departments to track ongoing initiatives, reference previous discussions, and provide new team members with access to historical project information when needed.
                                              Microsoft Teams also aligned well with the Microsoft applications already being used across the organization. Having communication, meetings, calendars, and shared content connected within the same environment simplified daily workflows and reduced the need to move between multiple platforms.",User,Financial Services,Enterprise,India,True,https://www.g2.com/products/microsoft-teams/reviews/microsoft-teams-review-12962462,12962462
Microsoft Teams,microsoft-teams,2026-06-15T20:07:43+00:00,5,7,,,,"Bringing communication, files, and meetings into one organized hub",,,,True,Zoom Workplace,,,Computer & Network Security,Mid-Market,United States,False,https://www.g2.com/products/microsoft-teams/reviews/microsoft-teams-review-12962125,12962125
Microsoft Teams,microsoft-teams,2026-06-15T19:50:20+00:00,5,7,7,7,7,"Very Effective in Combining Chat, Meetings and File Sharing for More Efficient Collaboration","Very efficient central hub for communication and collaboration where messaging, meetings, collaborating on documents, and file sharing are under a single platform which facilitates fluid teamwork.",Everything about this platform works well and satisfies every need and nothing that I would like to change at this time.,"The platform has simplified internal collaboration, meetings and sharing a document in a chat allows multiple users to work together seamlessly in real time and maintain visibility of our workloads.",False,,,User,Machinery,Mid-Market,United States,True,https://www.g2.com/products/microsoft-teams/reviews/microsoft-teams-review-12962046,12962046
Microsoft Teams,microsoft-teams,2026-06-15T16:04:39+00:00,2,4,,5,5,"Great All-in-One Hub, but Call Connectivity Interruptions Hold It Back","I really like the central hub of everything. I hate having to jump between apps. By combining chat, meetings, and file sharing..saves a lot of mental space. And a time too!",The connectivity is horrible. There is almost always an interruption on every call. This seems to be a common problem across the board.,"One of our biggest problems, in my opinion, was that it felt like we are all working in a silo. I had very little knowledge of what other teams were doing, which would affect my work from time to time. Teams has really helped streamline the process, and helped to make other teams feel included in the process, without having to be fully involved.",False,,,,Marketing and Advertising,SMB,United States,True,https://www.g2.com/products/microsoft-teams/reviews/microsoft-teams-review-12960985,12960985
Microsoft Teams,microsoft-teams,2026-06-15T15:56:54+00:00,4,7,6,6,,"Intuitive and Customizable, but Updates and Outages Can Disrupt Work","Teams is intuitive and easy to use. It's customizable to a degree (being able to mute conversations, etc.).","There are frequent updates which would normally be helpful, but my workplace requires approval for software updates, so it's more of a hassle for me. There are occasional outages which makes doing my job difficult since so much of it is collaborative.",Teams makes communication easier as we work remote. It also is helpful to have all of the chat saved so that we can reference it later on.,False,,,User,Non-Profit Organization Management,Enterprise,United States,False,https://www.g2.com/products/microsoft-teams/reviews/microsoft-teams-review-12960901,12960901
Microsoft Teams,microsoft-teams,2026-06-15T15:53:10+00:00,4,6,6,6,5,"Powerful Microsoft 365 Hub, but Notifications, Search, and Onboarding Need Work",,,,False,,,User,Business Supplies and Equipment,Mid-Market,Canada,False,https://www.g2.com/products/microsoft-teams/reviews/microsoft-teams-review-12960813,12960813
Microsoft Teams,microsoft-teams,2026-06-15T07:58:04+00:00,5,7,7,7,7,Microsoft Teams Keeps Our Onshore and Offshore Teams Connected,Microsoft Teams is a daily-use tool that helps us stay connected with multiple people in our business team. We use Teams to communicate and collaborate with both our onshore and offshore teams.,"I feel there should be more UI customisation options for users, to make it more user-friendly and give a sense that it’s tailored to individual needs.",The main problem MS Teams solves is connectivity. Its integration with Windows and Outlook also makes it stand out from other software.,False,,,User,Accounting,Mid-Market,United Kingdom,False,https://www.g2.com/products/microsoft-teams/reviews/microsoft-teams-review-12958954,12958954
Microsoft Teams,microsoft-teams,2026-06-15T06:17:14+00:00,5,7,7,7,7,Streamlined Teamwork with Microsoft Teams,"What I like best about Microsoft Teams is its ability to bring communication, collaboration, and meetings into a single platform. The integration with Microsoft 365 applications makes it easy to share files, collaborate on documents in real time, and manage team discussions efficiently. Its chat, video conferencing, and channel-based organization help improve productivity and keep projects well coordinated.","One aspect I dislike is that Microsoft Teams can sometimes feel resource-intensive, especially when multiple chats, channels, and meetings are active simultaneously. The large number of features can also make navigation challenging for new users, and finding older messages or files may occasionally require additional effort.","Microsoft Teams helps centralize communication, meetings, and file sharing, reducing the need to switch between multiple applications. This improves collaboration, saves time, and helps teams stay aligned on projects and tasks.",False,,,User,Computer Software,SMB,India,False,https://www.g2.com/products/microsoft-teams/reviews/microsoft-teams-review-12958655,12958655
Microsoft Teams,microsoft-teams,2026-06-14T15:34:53+00:00,5,7,7,6,7,Hover Status Notifications Make Team Updates Effortless,The best about teams is to get notified about the status of people when we hover over their profiles.,The external people will have no longer access to chats when they left some meeting.,Cross-team collaboration has helped with setting up meetings and getting things done at a faster pace.,True,Slack,Organization movement from Google Authenticator to Microsoft Authenticator.,User,Computer Software,Mid-Market,India,False,https://www.g2.com/products/microsoft-teams/reviews/microsoft-teams-review-12957579,12957579
Zoom Workplace,zoom-workplace,2026-06-18T16:36:03+00:00,5,7,7,7,7,Best Team Meeting Tool with AI-Powered Note-Taking,best team meeting tool with AI integrated for note taking,sometime it get too much to go through the process of joining a meeting,"remote work issue , it is very helpful to be able to connect with partners and staff accross the world",True,Google Workspace,very user-friendly,User,Marketing and Advertising,Mid-Market,United States,False,https://www.g2.com/products/zoom-workplace/reviews/zoom-workplace-review-12973241,12973241
Zoom Workplace,zoom-workplace,2026-06-18T15:30:14+00:00,5,5,,6,6,"Responsive Desktop App with Powerful Tools, AI Features, and Noise Cancellation","Zoom Workplace includes a lot of advanced tools compared with other services like Google Meet. The desktop version is especially strong: having a dedicated desktop app is really useful, and it feels very responsive. I also like the noise-cancellation settings, the video effects, and the AI features.","That said, the free version limits meetings to 40 minutes, which feels quite low. If you use it frequently, though, you can buy the premium plan. Onboarding is easy as well—I can log in with one click using Google. The design looks good and it has dark mode, and the UI is simple enough to understand. It also offers good sharing options and a whiteboard, and it can connect with Google Drive.","before it was difficult to conduct online classes as there was not a dedicated software specialized for this. But after zoom came, it simplified our work and it is very easy and hassle free to conduct online classes or meeting between us.",False,,,,Higher Education,Mid-Market,India,True,https://www.g2.com/products/zoom-workplace/reviews/zoom-workplace-review-12977340,12977340
